CaseID,case_outcome,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,used_probe,sample_kinds,final_design_kinds,fallback_statuses,native_failure_reasons,target_T_K,target_conversion,target_tau_s,target_log10_tau_s
40,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,943.6236464697868,0.6854863982275129,1.0400626819688018e-05,-4.982940486073494
41,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,818.9514651149511,0.9182548962300644,8.072431818465031e-05,-4.092995614442043
42,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,859.1595746623352,0.9922300864616408,9.13440426612142e-05,-4.039319771504961
43,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1428.0811421340331,0.8025016910489648,0.0003705781707051,-3.4311201668345475
44,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1483.1043847696856,0.6418058362230659,0.0003653234180196,-3.437322487682108
46,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1469.7339825797826,0.3760941926250234,0.0050939185639679,-2.292948002344935
47,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1540.1935929059982,0.5701212957408279,1.3227974667342338e-05,-4.878506645467132
50,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1406.075294218026,0.4392982365423813,4.103619843602624e-05,-4.386832878761925
51,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1530.6603143410755,0.3615197950880975,0.0158002980773815,-1.8013347198721046
52,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1430.5690774088723,0.1941225322335958,0.0025863661743148,-2.5873099882621404
