source_group,source_file,T_K,conversion_proxy,tau_s,log10_tau_s,P_Pa,steam_to_ethane,sample_kind,iso_final_design_kind
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1373.1650581490248,0.12197437736808903,1.413133601109522e-05,-4.849816776947073,292839.41704779863,0.6573627227917314,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1459.7116018179804,0.1098948651777405,2.7249113134243345e-06,-5.564647627962461,320854.9665287137,0.2083523394539952,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1580.9520346624777,0.21364375997126783,2.31344087454047e-06,-5.635741595446098,273026.51293575764,0.138008733280003,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1405.0986199826002,0.10485127448765152,5.835299190984242e-06,-5.233936871638777,177686.43517047167,0.8716022875159979,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1581.2627648049966,0.45686791241715274,0.0006101696818521606,-3.2145493754078434,210373.16266447303,0.2204640172421932,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1563.2092390861362,0.4919699283550977,0.0002098373533123472,-3.6781172001583236,288034.67713296413,0.8745563225820661,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1185.8312636706978,0.017981363569951836,6.117863901295251e-05,-4.213400188608926,250098.2940196991,0.8166234381496906,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1156.6016410663724,0.061614204162560804,0.0007588724030759162,-3.119831240308063,241885.08708029985,0.978293682448566,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1421.5756703121588,0.0692348690650727,2.599220383627694e-06,-5.585156895821924,223198.07559251785,0.4447755524888634,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1337.9481703136116,0.05484353923508012,8.460247412685778e-06,-5.072616936205299,275292.8441390395,0.0775828380137682,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1368.3213163167238,0.00024328346075885854,2.762431954317008e-07,-6.5587084109461475,282082.1523666382,0.5291793746873736,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1275.6651274021715,0.06088971279246547,2.8108387438099255e-05,-4.551164068900689,161603.9091721177,0.8858562726527452,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1269.5572038413957,0.0700227387233634,4.197101118366638e-05,-4.377050567452881,212738.0570396781,0.770119234919548,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1081.2938080634922,9.168127474201704e-06,1.0592215006197722e-05,-4.9750132122833834,322991.6462674737,0.0266655925661325,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1503.7826106417924,0.5536499982622314,0.04299018362956724,-1.3666306998204798,329115.60609936714,0.5702402628958225,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1367.1578238764778,0.14711418838491952,2.1844466523120316e-05,-4.660658556992138,166672.20573872328,0.8899159384891391,trajectory,isothermal_pfr_missed_target
