CaseID,sample_kind,iso_final_design_kind,iso_pfr_hit_target,iso_fallback_probe_status,iso_native_truncation_reason,iso_native_truncated_before_L,iso_T_K,iso_target_conversion,iso_manifest_target_tau_s
82,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1406.7724093515426,0.9445731922984124,0.0152810947804079
83,trajectory,isothermal_pfr_missed_target,False,,,False,1532.7643667906525,0.4548502606293186,0.0001255166936759
83,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1532.7643667906525,0.4548502606293186,0.0001255166936759
84,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1428.4650208521634,0.2895513143623248,1.0873338219955409e-05
85,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1409.5008793473244,0.9610698203276844,0.047469436469928
86,trajectory,isothermal_pfr_hit_target,True,,,False,1419.3134557502344,0.227003068998456,9.704817706200424e-05
87,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1543.943065754138,0.971024649529718,0.0007003148276168
89,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1513.965984461829,0.5060237278277054,0.0050476147376654
90,trajectory,isothermal_pfr_missed_target,False,,,False,1462.5738392351195,0.7833814261993394,4.47913561543723e-05
90,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1462.5738392351195,0.7833814261993394,4.47913561543723e-05
91,trajectory,isothermal_pfr_missed_target,False,,,False,1477.314422042109,0.0661512033641338,0.0116343957683827
91,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1477.314422042109,0.0661512033641338,0.0116343957683827
92,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,T exceeded cap 1600.0 K,True,1483.9150612382218,0.9781971558462828,0.000666373427837
93,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1403.6995477834716,0.1222255382919684,1.63593588858303e-05
94,trajectory,isothermal_pfr_missed_target,False,,,False,1574.7633981518447,0.2882845290889964,0.0004516584133241
94,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1574.7633981518447,0.2882845290889964,0.0004516584133241
96,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1538.746816990897,0.7799195122672246,3.6667609247766765e-05
97,trajectory,isothermal_pfr_missed_target,False,,,False,1524.0014690719545,0.8739424604736269,0.0250810561171047
97,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1524.0014690719545,0.8739424604736269,0.0250810561171047
98,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1552.876504571177,0.4866662852931768,0.0287203794850556
99,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1584.537408160977,0.9081861698301508,0.0002371356793442
100,trajectory,isothermal_pfr_missed_target,False,,,False,1476.733253733255,0.8974561575753615,0.000185557754378
100,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1476.733253733255,0.8974561575753615,0.000185557754378
102,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,True,1514.7690894734114,0.1317476094979793,0.2894529354015643
103,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1544.9797546677291,0.2645229818345979,6.639409311089946e-05
104,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1594.5484168594703,0.9910038994811476,0.0022426255147687
105,trajectory,isothermal_pfr_missed_target,False,,,False,1468.5516969906166,0.512527796770446,1.5339839678734516e-05
105,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1468.5516969906166,0.512527796770446,1.5339839678734516e-05
106,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1408.6780118197205,0.6754680005880073,0.0002372095994355
107,trajectory,isothermal_pfr_missed_target,False,,,False,1479.0875407774,0.9194950044620782,0.034829046803299
107,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1479.0875407774,0.9194950044620782,0.034829046803299
108,trajectory,isothermal_pfr_missed_target,False,,,False,1482.1830227971077,0.0361126479320228,0.0218832199517751
108,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1482.1830227971077,0.0361126479320228,0.0218832199517751
109,trajectory,isothermal_pfr_missed_target,False,,,False,1407.5485648680478,0.0188810466928407,0.0005387863821728
109,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1407.5485648680478,0.0188810466928407,0.0005387863821728
110,trajectory,isothermal_pfr_hit_target,True,,,False,1570.2189592039213,0.3430321532906965,4.7614642113239657e-05
111,trajectory,isothermal_pfr_missed_target,False,,,False,1439.1782497661188,0.853303669365123,0.0061417360684269
111,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1439.1782497661188,0.853303669365123,0.0061417360684269
112,trajectory,isothermal_pfr_missed_target,False,,,False,1541.612103660591,0.7433424876816571,0.0030209169947681
112,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1541.612103660591,0.7433424876816571,0.0030209169947681
113,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1571.2898217653856,0.5043226810125634,0.0122677821961944
114,trajectory,isothermal_pfr_missed_target,False,,,False,1555.7637626398357,0.0837862364994362,0.0060245732761022
114,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1555.7637626398357,0.0837862364994362,0.0060245732761022
115,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1431.8477292358875,0.3172633659932762,4.671107864527668e-05
116,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1529.4668708462268,0.0271790864504873,0.0087408151662886
117,trajectory,isothermal_pfr_missed_target,False,,,False,1460.4189599305391,0.4719037919817492,0.0071851806288071
117,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1460.4189599305391,0.4719037919817492,0.0071851806288071
118,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1567.5246885465458,0.0400782502489164,0.0358631278601148
119,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0013 < L=26.0764,True,1542.0705264573917,0.662299881214276,0.7725031019476135
120,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1597.4121628515422,0.1321514082280919,0.0008149733148668
121,trajectory,isothermal_pfr_missed_target,False,,,False,1465.841252906248,0.1156243103928864,0.0001046581932343
121,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1465.841252906248,0.1156243103928864,0.0001046581932343
122,trajectory,isothermal_pfr_missed_target,False,,,False,1561.5637213317675,0.8948716585431248,2.140242309849904e-05
122,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1561.5637213317675,0.8948716585431248,2.140242309849904e-05
123,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,876.3990625599399,0.0558476674603298,2.9509198035053388e-05
124,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,884.9154427228495,0.5384598598955199,4.402020016072961e-05
125,trajectory,isothermal_pfr_missed_target,False,,,False,854.618903757073,0.4606882498599589,1.1442920653857424e-05
125,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,854.618903757073,0.4606882498599589,1.1442920653857424e-05
126,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,922.9733528755604,0.3787247783783823,2.302596138504769e-05
127,trajectory,isothermal_pfr_missed_target,False,,,False,1336.2705654185263,0.873456285824068,0.0278912057645216
127,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1336.2705654185263,0.873456285824068,0.0278912057645216
128,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1236.5009601321071,0.5924552565254272,0.0019513329843338
129,trajectory,isothermal_pfr_missed_target,False,,,False,823.072556052357,0.2027268316922709,0.000151470576649
129,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,823.072556052357,0.2027268316922709,0.000151470576649
130,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,T exceeded cap 1600.0 K,True,1304.8712858790532,0.6353599415021017,0.0054187148407193
131,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1385.0366306258366,0.3181284528318793,2.1991736828975025e-05
132,trajectory,isothermal_pfr_missed_target,False,,,False,1026.1460320139304,0.6763085051067174,1.1059781027170932e-05
132,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1026.1460320139304,0.6763085051067174,1.1059781027170932e-05
133,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1311.4432569546625,0.4703355788020417,0.0023850000494568
134,trajectory,isothermal_pfr_missed_target,False,,,False,1215.6101775821298,0.641668607746251,0.0086709211562649
134,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1215.6101775821298,0.641668607746251,0.0086709211562649
135,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1097.3136510141194,0.7631926068756729,1.2666989604001355e-05
136,trajectory,isothermal_pfr_missed_target,False,,,False,1391.9493680587038,0.7812806565640494,0.0371341450907862
136,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1391.9493680587038,0.7812806565640494,0.0371341450907862
137,trajectory,isothermal_pfr_missed_target,False,,,False,1367.2723359288648,0.5140559268929065,0.0005125932696873
137,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1367.2723359288648,0.5140559268929065,0.0005125932696873
138,trajectory,isothermal_pfr_missed_target,False,,,False,860.3197701647878,0.2964618430379778,2.557823107415807e-05
138,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,860.3197701647878,0.2964618430379778,2.557823107415807e-05
139,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1279.2364895436913,0.4067402201192454,0.0032827256801921
140,trajectory,isothermal_pfr_missed_target,False,,,False,1381.9462491199374,0.3875727990595624,0.000745433751542
140,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1381.9462491199374,0.3875727990595624,0.000745433751542
141,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,805.9948460105807,0.4590925708599389,1.6074964896362824e-05
142,trajectory,isothermal_pfr_missed_target,False,,,False,921.410321011208,0.4302986563835293,2.495728853612466e-05
142,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,921.410321011208,0.4302986563835293,2.495728853612466e-05
143,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1041.8651690753177,0.6243215456651524,1.1529302224381517e-05
144,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1339.3866751762107,0.777972272108309,2.8043815576407173e-05
145,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1370.3840823611245,0.5727038384787739,0.0013002788450941
146,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1357.7350243274122,0.6878831062931569,0.0114938961811039
147,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1282.3261826857924,0.7601116089941934,0.0004424968332975
148,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1278.9004208240658,0.345536210234277,0.0002968461378461
149,trajectory,isothermal_pfr_missed_target,False,,,False,908.5355660691856,0.6065122888050974,3.82374986125357e-05
149,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,908.5355660691856,0.6065122888050974,3.82374986125357e-05
150,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1318.3426003577188,0.6829917259979994,0.0059143602303297
151,trajectory,isothermal_pfr_missed_target,False,,,False,1294.3839971115813,0.6664647301705554,8.196140105576443e-05
151,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1294.3839971115813,0.6664647301705554,8.196140105576443e-05
152,trajectory,isothermal_pfr_missed_target,False,,,False,1344.8366296477616,0.4390841251425445,0.0136733150951915
152,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1344.8366296477616,0.4390841251425445,0.0136733150951915
153,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,914.5826648827642,0.1613056542677805,1.1273896659921314e-05
154,trajectory,isothermal_pfr_missed_target,False,,,False,1263.18505264353,0.4767122874082997,0.0012704916182184
154,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1263.18505264353,0.4767122874082997,0.0012704916182184
155,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1176.52483636979,0.9214369231183084,0.0086979578338446
156,trajectory,isothermal_pfr_missed_target,False,,,False,1084.7018413199112,0.984165234770626,1.470960720117988e-05
156,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1084.7018413199112,0.984165234770626,1.470960720117988e-05
157,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1103.08561461512,0.9176422516955064,0.005991789861833
158,trajectory,isothermal_pfr_missed_target,False,,,False,1024.1439443267882,0.794248803970404,1.2204157032002971e-05
158,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1024.1439443267882,0.794248803970404,1.2204157032002971e-05
159,trajectory,isothermal_pfr_missed_target,False,,,False,1288.9339664485306,0.3552289382088929,0.0095106133187776
159,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1288.9339664485306,0.3552289382088929,0.0095106133187776
160,trajectory,isothermal_pfr_missed_target,False,,,False,988.3061062451452,0.5358870493853465,1.5653554884396542e-05
