CaseID,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,filled_target,unresolved_target,case_outcome,source_files,iso_T_K,iso_target_conversion,iso_manifest_target_tau_s,iso_manifest_tx_bin_i,iso_manifest_tx_bin_j,iso_manifest_ttau_bin_k
382,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1323.2211671536788,0.442554385648109,0.0040016088019058,10.0,8.0,10.0
383,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,936.5170498238876,0.152825628137216,2.7392089895164037e-05,2.0,3.0,1.0
384,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1286.4178111078218,0.4788019348448142,0.0018630147471674,9.0,9.0,9.0
385,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1172.9908240726218,0.923533109612763,0.0025797592742406,7.0,18.0,9.0
386,True,True,False,True,True,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1054.7662501130253,0.9883608917053788,1.6611214315334116e-05,5.0,19.0,0.0
387,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1134.9330115690827,0.9105896358052268,0.006774822659887,6.0,18.0,11.0
388,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1026.2497793976218,0.7949706160044298,1.1454465004963087e-05,4.0,15.0,0.0
389,True,True,False,True,True,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1261.5483352169394,0.3559462922438979,0.0002477952306502,9.0,7.0,5.0
390,True,True,False,True,False,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,965.6918663950636,0.532074241032824,1.5700233119693e-05,3.0,10.0,0.0
391,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,997.396671040915,0.3155474973330274,1.2961579306280445e-05,3.0,6.0,0.0
392,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,942.2192409075795,0.4900012547150254,1.225555101710877e-05,2.0,9.0,0.0
393,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1317.5408792402595,0.312223239815794,0.0030178187694041,10.0,6.0,9.0
394,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1210.5675847781822,0.3772782155731693,0.014756581666378,8.0,7.0,12.0
395,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1029.4829742843283,0.8220025884266944,1.0702406992688617e-05,4.0,16.0,0.0
396,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1081.699721883051,0.8836870966479182,1.2764266974058144e-05,5.0,17.0,0.0
397,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1005.7469030702488,0.8671645802771674,1.5527977608250936e-05,4.0,17.0,0.0
398,True,True,False,True,False,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1271.141906697303,0.643419472486712,0.0007717160485918,9.0,12.0,7.0
399,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,991.5953393932432,0.4543993331398815,1.1329530308664436e-05,3.0,9.0,0.0
400,True,True,False,True,False,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1239.1071466263384,0.4929333567619324,0.0086349124466057,8.0,9.0,11.0
401,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,820.1032225973904,0.6032045403262601,1.2624046926246988e-05,0.0,12.0,0.0
402,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1207.4775541806594,0.5361892894143239,0.0006199801299253,8.0,10.0,7.0
404,True,True,False,True,True,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,829.1593510145321,0.2753913483768702,9.590964815227586e-05,0.0,5.0,3.0
405,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1258.793079550378,0.7194180197408423,6.926988987882637e-05,9.0,14.0,3.0
406,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,868.6234174575657,0.3411026852810755,3.4572909371911296e-05,1.0,6.0,2.0
