PC1,PC2,dataset
-0.3930596961183854,-1.056689880453044,full
-0.5973150741579569,0.9743372538009006,full
-1.501322796476983,-1.005455940948483,full
-1.3590538203589366,-0.6059439459957483,full
0.6593747301059487,0.7130837486421034,full
-1.5685877062667513,-1.0562359491145044,full
-0.8784001960262641,-0.2849768934974134,full
-0.14888102909092374,1.337807978339532,full
0.3218093778580038,0.7239707551199822,full
5.285911140535121,1.9206532734212067,full
-0.7289975567331576,0.0596008951994877,full
-0.9756798722227022,0.2429773372899253,full
0.630820467786807,-0.12719299845231258,full
-0.9820627301934116,-0.7201440887086942,full
-1.4819713734909434,-1.2790109630361455,full
-2.3314486732480635,-1.6049257612816668,full
0.8303439864968527,-0.5346998176616317,full
0.04616257105104866,0.5404627107746338,full
-1.5461154091560683,-0.13571743856641874,full
-1.3745193288177024,0.40391226831286664,full
-0.7692823992701597,0.0704143645494358,full
-0.32825004660269314,1.332709140187807,full
0.6371181369211315,0.4943979836232054,full
-1.3057022777873029,-1.0959640518205456,full
-1.1899262938032724,-0.24450914158207973,full
-0.32496095097121147,0.6343664516639864,full
-0.6767754526598599,0.46442815699410195,full
-0.413734455401171,1.7175409873447915,full
5.177455220306475,-1.721352818847608,full
-0.24095934646481856,-0.6036062818625716,full
-1.8650020844399553,-1.030595776846802,full
-0.9766906197084992,0.7223545700888923,full
-1.5688761486046428,-0.14176989896736178,full
-0.30498642906915463,0.053882847805834466,full
-1.3998428032099302,-0.3913843083939686,full
4.69537779400417,-1.9710649396769566,full
-0.932207354017678,0.15648058377790403,full
-1.5230602904259725,0.052360137793572674,full
-0.8810318606933737,-0.11556300348158756,full
-1.227439237246657,-0.43345843685691066,full
-0.6186635271430284,-0.2819435854875471,full
0.036785603489090164,0.9251403249134239,full
-1.6477917760091398,-0.8497893469868102,full
-1.1305054816023032,-1.4640619675969788,full
-1.90020407440516,-1.6080976059599326,full
-1.1436767537100507,-0.47665058451088166,full
3.3943234082981455,-0.6175590171335994,full
-1.1897852773443345,-1.001286036880135,full
-0.5424172336790207,-0.5269278509563213,full
-0.6189630505599192,2.049363272645092,full
-0.8483463439104401,1.288299374428566,full
-1.1190019340626733,-0.6534670045246742,full
-1.3437581785180612,-0.995523298868923,full
2.497545958862194,0.7333965334887287,full
0.3477939701826844,0.28015332244945246,full
-0.8670680659448378,-0.035828888523714734,full
-1.808411413493612,-1.439815349002703,full
-0.8427109732346082,0.6160881398191052,full
-0.20120651993812366,-0.5752333702747527,full
8.025832539567748,2.3066505250895117,full
-0.7414568145801351,0.7938020555746085,full
-0.8330494406228192,-0.5262732495340343,full
-0.613655902714889,0.4452522244934984,full
-0.39538592807316086,-1.0345598054652902,full
-1.2222633395090161,-0.92553529007855,full
-0.9738417819344973,-0.2261950564185244,full
-1.9888009759215872,-1.0910108698958085,full
-0.33526922190388797,0.6880181911550941,full
0.12316018510664153,0.028751455832533034,full
-0.6227563764773575,0.47131338999405764,full
3.2915278024309464,0.6657239327253393,full
0.004457229676288346,-1.263264268565739,full
-0.8054092567477557,-0.08866054781148719,full
-1.2653634337657367,0.40389316759900784,full
0.2929186953423876,-0.7551237481045525,full
-2.1065469807848016,-0.9196449693531134,full
1.5205646019184507,-0.98798576018659,full
0.8592961059154169,0.8171681897052203,full
-1.0223531944685562,0.33939486895983945,full
1.1480650660646272,-0.2742601561997828,full
-1.0744012151004017,0.053609294568860995,full
